#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,423,16060,0,0,1,30843,30420,423
7301,2,0,425,18980,0,0,1,30845,30420,425
10221,2,0,427,21900,0,0,1,30847,30420,427
13141,2,0,429,24820,0,0,1,30849,30420,429
14601,161.2,0,630,27740,0,0,1,31050,30420,630
17521,202.64,336.8,422,29200,0,0,1,31263,30841,422
20441,42.128,68.96,422,32120,0,0,1,31265,30843,422
23361,10.0256,13.792,424,35040,0,0,1,31267,30843,424
26281,3.60512,4.3584,424,37960,0,0,1,31269,30845,424
29201,2.32102,0.87168,426,40880,0,0,1,31271,30845,426
32121,2.0642,1.77434,426,43800,0,0,1,31273,30847,426
35041,2.01284,0.354867,428,46720,0.04,0,1,31275,30847,428
37961,2.00257,1.67097,428,49640,0.08,0,1,31277,30849,428
40881,2.00051,0.334195,430,52560,0.12,0,1,31279,30849,430
43801,154.8,160.867,422,55480,0.024,0,1,31472,31050,422
46721,201.36,202.573,422,58400,0.0048,0,1,31685,31263,422
49641,41.872,40.5147,424,61320,0.00096,0,1,31687,31263,424
52561,9.9744,9.70293,424,64240,0.000192,0,1,31689,31265,424
55481,3.59488,1.94059,426,67160,3.84e-05,0,1,31691,31265,426
58401,2.31898,1.98812,426,70080,7.68e-06,0,1,31693,31267,426
61321,2.0638,0.397623,428,73000,1.536e-06,0,1,31695,31267,428
64241,2.01276,1.67952,428,75920,0.0400003,0,1,31697,31269,428
67161,2.00255,0.335905,430,78840,0.0800001,0,1,31699,31269,430
70081,2.00051,1.66718,430,81760,0.12,0,1,31701,31271,430
73001,2.0001,0.333436,432,84680,0.16,0,1,31703,31271,432
75921,2.00002,1.66669,432,87600,0.2,0,1,31705,31273,432
78841,2,0.333337,434,90520,0.24,0.05,1,31707,31273,434
81761,2,1.66667,434,93440,0.28,0.05,1,31709,31275,434
84681,2,0.333333,436,96360,0.32,0.09,1,31711,31275,436
87601,2,1.66667,436,99280,0.36,0.09,1,31713,31277,436
90521,2,0.333333,438,102200,0.4,0.13,1,31715,31277,438
93441,2,1.66667,438,105120,0.44,0.13,1,31717,31279,438
96361,2,0.333333,440,108040,0.48,0,1,31719,31279,440
99281,140.4,154.467,422,110960,0.096,0,1,31894,31472,422
102201,29.68,30.8933,424,113880,0.0192,0,1,31896,31472,424
105121,174.736,176.579,422,116800,0.00384,0,1,32107,31685,422
108041,36.5472,35.3157,424,119720,0.000768,0,1,32109,31685,424
110961,8.90944,8.66315,424,122640,0.0001536,0,1,32111,31687,424
113881,3.38189,1.73263,426,125560,3.072e-05,0,1,32113,31687,426
116801,2.27638,1.94653,426,128480,6.144e-06,0,1,32115,31689,426
119721,2.05528,0.389305,428,131400,1.2288e-06,0,1,32117,31689,428
122641,2.01106,1.67786,428,134320,0.0400002,0,1,32119,31691,428
125561,2.00221,0.335572,430,137240,0.0800001,0,1,32121,31691,430
128481,2.00044,1.66711,430,140160,0.08,0,1,32123,31693,430
131401,2.00009,0.333423,432,143080,0.048,0,1,32125,31693,432
134321,2.00002,1.66668,432,146000,0.0096,0,1,32127,31695,432
137241,2,0.333337,434,148920,0.00192,0.05,1,32129,31695,434
140161,2,1.66667,434,151840,0.176384,0.05,1,32131,31697,434
143081,2,0.333333,436,154760,0.179277,0.09,1,32133,31697,436
146001,2,1.66667,436,157680,0.147855,0.09,1,32135,31699,436
148921,2,0.333333,438,160600,0.109571,0.13,1,32137,31699,438
151841,2,1.66667,438,163520,0.0699142,0.13,1,32139,31701,438
154761,2,0.333333,440,166440,0.213983,0.17,1,32141,31701,440
157681,2,1.66667,440,169360,0.202797,0.17,1,32143,31703,440
160601,2,0.333333,442,172280,0.168559,0.21,1,32145,31703,442
163521,2,1.66667,442,175200,0.129712,0.21,1,32147,31705,442
166441,2,0.333333,444,178120,0.0899424,0.25,1,32149,31705,444
169361,2,1.66667,444,181040,0.217988,0.25,1,32151,31707,444
172281,2,0.333333,446,183960,0.211598,0.29,1,32153,31707,446
175201,2,1.66667,446,186880,0.24232,0.29,1,32155,31709,446
178121,2,0.333333,448,189800,0.216464,0.33,1,32157,31709,448
181041,2,1.66667,448,192720,0.179293,0.33,1,32159,31711,448
