#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
55481,56.2251,80.4621,564,27740,0.0282586,0.09,1,3040,2476,564
58401,55.197,76.4043,564,27740,0.0264328,0.09,1,3088,2524,564
61321,54.2974,66.8538,612,27740,0.0247895,0.11,1,3136,2524,612
64241,53.5102,64.497,612,27740,0.0233105,0.03,1,3184,2572,612
67161,54.3214,78.4349,496,27740,0.0209795,0,1,3244,2748,496
70081,53.5313,75.1306,492,27740,0.0198815,0.01,1,3292,2800,492
73001,52.8398,71.7392,492,27740,0.0188934,0.01,1,3340,2848,492
75921,52.2349,68.7718,492,27740,0.0180041,0.01,1,3388,2896,492
78841,51.7055,66.1754,492,27740,0.0172036,0.01,1,3436,2944,492
81761,51.2423,63.9034,492,27740,0.0164833,0.01,1,3484,2992,492
84681,50.837,61.9155,492,27740,0.015835,0.01,1,3532,3040,492
87601,50.4824,60.1761,492,27740,0.0152515,0.01,1,3580,3088,492
90521,50.1721,58.6541,492,27740,0.0147263,0.01,1,3628,3136,492
93441,51.4006,57.3223,504,27740,0.0132537,0,1,3688,3184,504
96361,50.9755,57.657,492,27740,0.0129283,0.01,1,3736,3244,492
99281,50.6036,56.4499,492,27740,0.0126355,0.01,1,3784,3292,492
102201,50.2781,55.3937,492,27740,0.0123719,0.01,1,3832,3340,492
105121,49.9934,54.4694,492,27740,0.0121347,0.01,1,3880,3388,492
108041,49.7442,53.6608,492,27740,0.0119213,0.01,1,3928,3436,492
110961,49.5262,52.9532,492,27740,0.0117291,0.01,1,3976,3484,492
113881,49.3354,52.334,492,27740,0.0115562,0.01,1,4024,3532,492
116801,49.1685,51.7923,492,27740,0.0114006,0.01,1,4072,3580,492
119721,50.5224,51.3182,504,27740,0.0102605,0,1,4132,3628,504
122641,50.2071,52.4035,492,27740,0.0102345,0.01,1,4180,3688,492
125561,49.9312,51.853,492,27740,0.010211,0.01,1,4228,3736,492
128481,49.6898,51.3714,492,27740,0.0101899,0.01,1,4276,3784,492
131401,49.4786,50.95,492,27740,0.0101709,0.01,1,4324,3832,492
134321,49.2938,50.5812,492,27740,0.0101538,0.01,1,4372,3880,492
137241,49.132,50.2586,492,27740,0.0101385,0.01,1,4420,3928,492
140161,48.9905,49.9763,492,27740,0.0101246,0.01,1,4468,3976,492
143081,48.8667,49.7292,492,27740,0.0101122,0.01,1,4516,4024,492
146001,50.2584,49.5131,504,27740,0.00910094,0,1,4576,4072,504
148921,49.9761,50.8239,492,27740,0.00919085,0.01,1,4624,4132,492
151841,49.7291,50.4709,492,27740,0.00927176,0.01,1,4672,4180,492
154761,49.5129,50.1621,492,27740,0.00934459,0.01,1,4720,4228,492
157681,49.3238,49.8918,492,27740,0.00941013,0.01,1,4768,4276,492
160601,49.1583,49.6553,492,27740,0.00946911,0.01,1,4816,4324,492
163521,49.0136,49.4484,492,27740,0.0095222,0.01,1,4864,4372,492
166441,48.8869,49.2674,492,27740,0.00956998,0.01,1,4912,4420,492
169361,48.776,49.1089,492,27740,0.00961298,0.01,1,4960,4468,492
172281,50.179,48.9703,504,27740,0.00865169,0,1,5020,4516,504
175201,49.9066,50.349,492,27740,0.00878652,0.01,1,5068,4576,492
178121,49.6683,50.0554,492,27740,0.00890787,0.01,1,5116,4624,492
181041,49.4598,49.7985,492,27740,0.00901708,0.01,1,5164,4672,492
183961,49.2773,49.5737,492,27740,0.00911537,0.01,1,5212,4720,492
186881,49.1176,49.377,492,27740,0.00920383,0.01,1,5260,4768,492
189801,48.9779,49.2048,492,27740,0.00928345,0.01,1,5308,4816,492
192721,48.8557,49.0542,492,27740,0.00935511,0.01,1,5356,4864,492
195641,48.7487,48.9225,492,27740,0.00941959,0.01,1,5404,4912,492
198561,50.1551,48.8072,504,27740,0.00847764,0,1,5464,4960,504
201481,49.8857,50.2063,492,27740,0.00862987,0.01,1,5512,5020,492
204401,49.65,49.9305,492,27740,0.00876688,0.01,1,5560,5068,492
207321,49.4438,49.6892,492,27740,0.0088902,0.01,1,5608,5116,492
210241,49.2633,49.478,492,27740,0.00900118,0.01,1,5656,5164,492
213161,49.1054,49.2933,492,27740,0.00910106,0.01,1,5704,5212,492
216081,48.9672,49.1316,492,27740,0.00919095,0.01,1,5752,5260,492
219001,48.8463,48.9902,492,27740,0.00927186,0.01,1,5800,5308,492
221921,48.7405,48.8664,492,27740,0.00934467,0.01,1,5848,5356,492
224841,50.148,48.7581,504,27740,0.0084102,0,1,5908,5404,504
227761,49.8795,50.1633,492,27740,0.00856918,0.01,1,5956,5464,492
230681,49.6445,49.8929,492,27740,0.00871227,0.01,1,6004,5512,492
233601,49.439,49.6563,492,27740,0.00884104,0.01,1,6052,5560,492
236521,49.2591,49.4493,492,27740,0.00895694,0.01,1,6100,5608,492
239441,49.1017,49.2681,492,27740,0.00906124,0.01,1,6148,5656,492
242361,48.964,49.1096,492,27740,0.00915512,0.01,1,6196,5704,492
245281,48.8435,48.9709,492,27740,0.00923961,0.01,1,6244,5752,492
248201,48.7381,48.8495,492,27740,0.00931565,0.01,1,6292,5800,492
251121,50.1458,48.7433,504,27740,0.00838408,0,1,6352,5848,504
254041,49.8776,50.1504,492,27740,0.00854567,0.01,1,6400,5908,492
256961,49.6429,49.8816,492,27740,0.00869111,0.01,1,6448,5956,492
259881,49.4375,49.6464,492,27740,0.00882199,0.01,1,6496,6004,492
262801,49.2578,49.4406,492,27740,0.0089398,0.01,1,6544,6052,492
265721,49.1006,49.2605,492,27740,0.00904582,0.01,1,6592,6100,492
268641,48.963,49.103,492,27740,0.00914123,0.01,1,6640,6148,492
271561,48.8426,48.9651,492,27740,0.00922711,0.01,1,6688,6196,492
274481,48.7373,48.8445,492,27740,0.0093044,0.01,1,6736,6244,492
277401,50.1452,48.7389,504,27740,0.00837396,0,1,6796,6292,504
280321,49.877,50.1465,492,27740,0.00853656,0.01,1,6844,6352,492
283241,49.6424,49.8782,492,27740,0.00868291,0.01,1,6892,6400,492
286161,49.4371,49.6434,492,27740,0.00881462,0.01,1,6940,6448,492
289081,49.2574,49.438,492,27740,0.00893315,0.01,1,6988,6496,492
292001,49.1003,49.2583,492,27740,0.00903984,0.01,1,7036,6544,492
294921,48.9627,49.101,492,27740,0.00913586,0.01,1,7084,6592,492
297841,48.8424,48.9634,492,27740,0.00922227,0.01,1,7132,6640,492
300761,48.7371,48.8429,492,27740,0.00930004,0.01,1,7180,6688,492
303681,50.145,48.7376,504,27740,0.00837004,0,1,7240,6736,504
306601,49.8768,50.1454,492,27740,0.00853303,0.01,1,7288,6796,492
309521,49.6422,49.8772,492,27740,0.00867973,0.01,1,7336,6844,492
312441,49.437,49.6426,492,27740,0.00881176,0.01,1,7384,6892,492
315361,49.2573,49.4372,492,27740,0.00893058,0.01,1,7432,6940,492
318281,49.1002,49.2576,492,27740,0.00903752,0.01,1,7480,6988,492
321201,48.9626,49.1004,492,27740,0.00913377,0.01,1,7528,7036,492
